ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Grout Condition,Type of Wall,Building Occupant,Title Owner on Builder,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5
32,Calle D'San Felipe,"936 Royal St, New Orleans, LA 70116, USA",Falling Apart,7,,Masonry,Multi Use & Residential,93640 LLC,Inventory_Images/32.Photo 1.134752.jpg,Inventory_Images/32.Photo 2.134752.jpg,Inventory_Images/32.Photo 3.134752.jpg,Inventory_Images/32.Photo 4.134755.jpg,
33,Calle Real,"1000 Royal St, New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Masonry with Stucco,Hotel Royal,"Fairways Office Bldgs, LLC",Inventory_Images/33.Photo 1.135934.jpg,Inventory_Images/33.Photo 2.135934.jpg,,,
34,Calle D'San Felipe,"Bourbon St & St Philip St, New Orleans, LA 70116, USA",Graffiti,12,,Brick,Multi Use/Residential,,Inventory_Images/34.Photo 1.134803.jpg,Inventory_Images/34.Photo 2.134803.jpg,,,
35,Calle D'Bourbon,"941 Bourbon St, New Orleans, LA 70116, USA",Faded/Cracked Polish,14,,Brick,Lafittes Blacksmith Shop & Bar,"Lafittes..., LLC",Inventory_Images/35.Photo 1.134239.jpg,Inventory_Images/35.Photo 2.134239.jpg,Inventory_Images/35.Photo 3.134239.jpg,,
36,Camino Del Bayona,"1001 Dauphine St, New Orleans, LA 70116, USA",Good Condition,2,Good Condition,Masonry with Stucco,Mattasa’s Market,Mattasa Investments LLC,Inventory_Images/36.Photo 1.140349.jpg,Inventory_Images/36.Photo 2.140349.jpg,Inventory_Images/36.Photo 3.140349.jpg,,
37,Calle D'San Felipe,"1009 St Philip St, New Orleans, LA 70116, USA",Falling Apart,18,Bad Condition,Brick,Residential w/Courtyard,,Inventory_Images/37.Photo 1.134821.jpg,Inventory_Images/37.Photo 2.134821.jpg,Inventory_Images/37.Photo 3.134821.jpg,,
38,Calle D'Santa Ana,"1009 St Ann St., New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Brick,Residential,George Reeves et. al.,Inventory_Images/38.Photo 1.135124.jpg,Inventory_Images/38.Photo 2.135123.jpg,,,
39,Calle D'Santa Ana,"1013 St Ann St., New Orleans, LA 70116, USA",Faded/Cracked Polish,0,Bad Condition,Brick,Inn at St. Ann,"KFK Acquisitions, LLC",Inventory_Images/39.Photo 1.135137.jpg,Inventory_Images/39.Photo 2.135137.jpg,,,
40,Camino Del Bayona,"839 St Ann St., New Orleans, LA 70116, USA",Faded/Cracked Polish,0,Good Condition,Brick,Restaurant,,Inventory_Images/40.Photo 1.140405.jpg,Inventory_Images/40.Photo 2.140405.jpg,Inventory_Images/40.Photo 3.140405.jpg,,
41,Calle D'Bourbon,"801 Bourbon St, New Orleans, LA 70116, USA",,8,,Brick,The Bourbon Pub,Capricorn Investments,Inventory_Images/41.Photo 1.134302.jpg,Inventory_Images/41.Photo 2.134302.jpg,,,
